measure,contrast,r_Astro,p_Astro,r_Endo,p_Endo,r_Micro,p_Micro,r_Neuro-Ex,p_Neuro-Ex,r_Neuro-In,p_Neuro-In,r_Oligo,p_Oligo,r_OPC,p_OPC
T1w_contrast,EDR_HC,0.031266443,0.8721278721278721,-0.17537987,0.4965034965034965,0.10604415,0.7262737262737263,-0.26908743,0.003996003996003996,-0.15937726,0.030969030969030968,-0.1213165,0.3856143856143856,0.2167762,0.4035964035964036
T1w_contrast,EDBP_HC,-0.1871734,0.1918081918081918,-0.18807477,0.3116883116883117,-0.14528762,0.5084915084915085,-0.12135319,0.26573426573426573,-0.05265914,0.5344655344655345,-0.18050964,0.06893106893106893,-0.048710193,0.8061938061938062
T1w_contrast,EDR_EDBP,0.23509769,0.059940059940059943,0.032212645,0.8841158841158842,0.26263425,0.06293706293706294,-0.13168697,0.1958041958041958,-0.0985799,0.17782217782217782,0.07696154,0.4355644355644356,0.2664993,0.03596403596403597
sulc,EDR_HC,-0.054606374,0.43356643356643354,-0.014301973,0.8691308691308691,-0.14508428,0.03996003996003996,0.0634776,0.3116883116883117,0.09518771,0.0969030969030969,-0.055821083,0.36663336663336665,-0.036490016,0.6763236763236763
sulc,EDBP_HC,-0.017275242,0.8241758241758241,0.027462002,0.6963036963036963,-0.109647214,0.1048951048951049,0.044812642,0.4515484515484515,0.05641569,0.3106893106893107,-0.077139415,0.23576423576423577,-0.06776915,0.35664335664335667
sulc,EDR_EDBP,-0.03552646,0.44455544455544455,-0.043507207,0.34765234765234765,-0.025394276,0.6073926073926074,0.014638244,0.7532467532467533,0.033562746,0.4045954045954046,0.027945073,0.5454545454545454,0.037032355,0.44455544455544455
thickness,EDR_HC,-0.056721676,0.6433566433566433,-0.06658306,0.5694305694305695,-0.15615422,0.17482517482517482,0.011750351,0.906093906093906,-0.0148907425,0.8071928071928072,-0.08834947,0.34965034965034963,-0.20065439,0.061938061938061936
thickness,EDBP_HC,-0.20219845,0.05094905094905095,0.015327704,0.8551448551448552,-0.17630836,0.023976023976023976,0.13953847,0.2087912087912088,0.13096337,0.2787212787212787,-0.077996925,0.2647352647352647,-0.19408372,0.01998001998001998
thickness,EDR_EDBP,0.14942154,0.15284715284715283,-0.08001088,0.33466533466533466,0.02696132,0.7142857142857143,-0.1303835,0.22577422577422576,-0.14788172,0.1878121878121878,-0.006154537,0.9410589410589411,0.0010801528,0.988011988011988
area,EDR_HC,-0.050124586,0.7192807192807192,0.063897416,0.7302697302697303,0.012496288,0.9400599400599401,0.05582744,0.6523476523476524,0.078999996,0.5594405594405595,0.055136967,0.6093906093906094,0.1296711,0.4305694305694306
area,EDBP_HC,0.1549772,0.1888111888111888,-0.024882179,0.8661338661338661,0.12063217,0.3196803196803197,0.017382728,0.8671328671328671,-0.015965825,0.8591408591408591,-0.03217363,0.7492507492507493,0.18723944,0.12787212787212787
area,EDR_EDBP,-0.21876463,0.06793206793206794,0.094590954,0.37962037962037964,-0.113540456,0.2937062937062937,0.0402221,0.6743256743256744,0.09941927,0.36163836163836166,0.093377456,0.3276723276723277,-0.062742464,0.5754245754245755
RND-gm,EDR_HC,0.21996456,0.33966033966033965,0.1168228,0.7372627372627373,0.3839959,0.13786213786213786,0.04969407,0.7542457542457542,-0.04177114,0.5744255744255744,0.05637289,0.7602397602397603,0.38319808,0.14485514485514486
RND-gm,EDBP_HC,0.22353312,0.06993006993006994,0.047700014,0.8071928071928072,0.20169248,0.23176823176823177,-0.056154463,0.5854145854145855,-0.07022575,0.24175824175824176,-0.02490771,0.8391608391608392,0.23398949,0.1038961038961039
RND-gm,EDR_EDBP,0.0224293,0.9230769230769231,0.090614624,0.7742257742257742,0.2497194,0.37362637362637363,0.12485298,0.38961038961038963,0.027657459,0.8051948051948052,0.09668409,0.5484515484515484,0.21241224,0.42957042957042957
RNI-gm,EDR_HC,0.20492372,0.3076923076923077,0.07330846,0.8111888111888111,0.37391806,0.06393606393606394,-0.033684622,0.8001998001998002,-0.07897815,0.24975024975024976,-0.018115487,0.9020979020979021,0.3279838,0.14985014985014986
RNI-gm,EDBP_HC,0.14072198,0.3046953046953047,-0.081381924,0.6563436563436563,0.1486123,0.42657342657342656,-0.09714245,0.3906093906093906,-0.05744799,0.5534465534465535,-0.12788147,0.20679320679320679,0.2184664,0.17882117882117882
RNI-gm,EDR_EDBP,0.078955844,0.7062937062937062,0.18877845,0.4125874125874126,0.27587846,0.1918081918081918,0.07733935,0.5554445554445554,-0.026668297,0.7622377622377622,0.13383274,0.3066933066933067,0.13404398,0.5674325674325674
RND-wm,EDR_HC,-0.043589342,0.7592407592407593,-0.26062548,0.03996003996003996,-0.1794534,0.3076923076923077,0.02228162,0.7842157842157842,0.06545187,0.32867132867132864,-0.2310038,0.006993006993006993,0.024267353,0.9150849150849151
RND-wm,EDBP_HC,0.013100384,0.932067932067932,-0.05081542,0.7692307692307693,0.04872481,0.8241758241758241,-0.1434634,0.1998001998001998,-0.09805048,0.3046953046953047,-0.14315651,0.1258741258741259,0.11095285,0.5684315684315684
RND-wm,EDR_EDBP,-0.058127146,0.6343656343656343,-0.18951108,0.1048951048951049,-0.2340446,0.04495504495504495,0.19892092,0.07992007992007992,0.18464746,0.054945054945054944,-0.046399835,0.5984015984015985,-0.11377893,0.37962037962037964
RNI-wm,EDR_HC,0.14425686,0.24475524475524477,0.087191924,0.4725274725274725,0.2180779,0.03996003996003996,-0.0031970108,0.9790209790209791,-0.07120978,0.5104895104895105,-0.01354594,0.8821178821178821,0.11429476,0.37662337662337664
