measure,contrast,r_evoexp_xu,p_evoexp_xu
T1w_contrast,EDR_HC,0.005139292,0.939060939060939
T1w_contrast,EDBP_HC,-0.09301031,0.3066933066933067
T1w_contrast,EDR_EDBP,0.10977141,0.1888111888111888
sulc,EDR_HC,0.09270331,0.07692307692307693
sulc,EDBP_HC,0.06531608,0.2987012987012987
sulc,EDR_EDBP,0.010987727,0.8381618381618382
thickness,EDR_HC,0.20232077,0.017982017982017984
thickness,EDBP_HC,0.111649066,0.21578421578421578
thickness,EDR_EDBP,0.05897548,0.5094905094905094
area,EDR_HC,-0.08693906,0.4195804195804196
area,EDBP_HC,0.055275336,0.5584415584415584
area,EDR_EDBP,-0.1238951,0.22977022977022976
RND-gm,EDR_HC,-0.037593864,0.6603396603396603
RND-gm,EDBP_HC,0.06850769,0.43756243756243757
RND-gm,EDR_EDBP,-0.092607796,0.3916083916083916
RNI-gm,EDR_HC,-0.090510525,0.36163836163836166
RNI-gm,EDBP_HC,0.001086944,0.988011988011988
RNI-gm,EDR_EDBP,-0.088474154,0.38161838161838163
RND-wm,EDR_HC,0.087721966,0.4385614385614386
RND-wm,EDBP_HC,0.09217815,0.34865134865134867
RND-wm,EDR_EDBP,-0.011760375,0.8991008991008991
RNI-wm,EDR_HC,0.054621104,0.6293706293706294
RNI-wm,EDBP_HC,0.06448655,0.47952047952047955
RNI-wm,EDR_EDBP,-0.019177279,0.8261738261738262
