measure,contrast,r_genepc1,p_genepc1,r_subjvar,p_subjvar,r_cbf,p_cbf,r_cbv,p_cbv,r_cmrglc_raichle,p_cmrglc_raichle,r_cmro2,p_cmro2,r_devexp,p_devexp,r_SAaxis,p_SAaxis,r_evoexp_xu,p_evoexp_xu
T1w_contrast,EDR_HC,-0.114115566,0.7462537462537463,-0.12958209,0.43756243756243757,-0.1434799,0.38161838161838163,0.08516197,0.5554445554445554,-0.3147244,0.04695304695304695,-0.15226325,0.34865134865134867,-0.1824279,0.15184815184815184,0.012920129,0.9630369630369631,-0.098680735,0.2817182817182817
T1w_contrast,EDBP_HC,0.0865074,0.7182817182817183,-0.032391038,0.8241758241758241,-0.08509363,0.5384615384615384,0.1335238,0.23276723276723277,-0.15134403,0.3596403596403596,-0.008089744,0.9560439560439561,-0.11101315,0.25274725274725274,-0.034505043,0.8541458541458542,0.08130079,0.34665334665334663
T1w_contrast,EDR_EDBP,-0.20637403,0.23976023976023977,-0.090303525,0.44555444555444557,-0.04879602,0.6703296703296703,-0.059980754,0.5664335664335665,-0.14387517,0.2997002997002997,-0.13921681,0.2177822177822178,-0.08092879,0.4305694305694306,0.050201554,0.7512487512487512,-0.1833957,0.02097902097902098
sulc,EDR_HC,0.0138178775,0.8591408591408591,0.06187842,0.4165834165834166,0.0712636,0.2867132867132867,0.08755623,0.2077922077922078,0.04292291,0.5764235764235764,0.091245554,0.19080919080919082,0.033023972,0.6703296703296703,0.011468905,0.8881118881118881,0.053854402,0.43956043956043955
sulc,EDBP_HC,0.053231485,0.5204795204795205,-0.016879749,0.8261738261738262,0.0741105,0.23076923076923078,0.073080264,0.22877122877122877,0.09142278,0.13886113886113885,0.11828503,0.06393606393606394,0.10508506,0.1918081918081918,0.00034102268,0.998001998001998,0.20597818,0.002997002997002997
sulc,EDR_EDBP,-0.043721277,0.3706293706293706,0.07887175,0.17182817182817184,-0.009637794,0.8601398601398601,0.0077522527,0.8681318681318682,-0.056118574,0.25374625374625376,-0.037426777,0.45054945054945056,-0.08109141,0.20679320679320679,0.010868985,0.8631368631368631,-0.1687988,0.003996003996003996
thickness,EDR_HC,0.17345548,0.17682317682317683,0.0025832267,0.98001998001998,0.01944953,0.8541458541458542,-0.016240984,0.8431568431568431,0.095473476,0.4085914085914086,0.13347101,0.15884115884115885,0.053924154,0.6563436563436563,-0.046373185,0.7552447552447552,0.13051018,0.15884115884115885
thickness,EDBP_HC,0.2277868,0.027972027972027972,0.06745908,0.6033966033966034,0.07603478,0.4865134865134865,-0.06738626,0.45454545454545453,0.20968834,0.03696303696303696,0.17718191,0.1008991008991009,0.042747702,0.6943056943056943,-0.009525785,0.9530469530469531,0.031572998,0.6983016983016983
thickness,EDR_EDBP,-0.06189073,0.5534465534465535,-0.06627929,0.6233766233766234,-0.057736542,0.5834165834165834,0.052675083,0.5574425574425574,-0.11972404,0.2977022977022977,-0.049801525,0.6753246753246753,0.0143332025,0.9180819180819181,-0.03612348,0.7862137862137862,0.09403438,0.2937062937062937
area,EDR_HC,-0.036423955,0.8501498501498501,0.04960972,0.7392607392607392,-0.041145418,0.7122877122877123,0.038160875,0.6923076923076923,0.010392731,0.9400599400599401,-0.011610495,0.9050949050949051,-0.0046928255,0.9760239760239761,0.07609687,0.6823176823176823,0.07562235,0.5184815184815185
area,EDBP_HC,-0.29648504,0.025974025974025976,0.2537139,0.06393606393606394,-0.18866633,0.08091908091908091,-0.077917516,0.44755244755244755,-0.20190807,0.08391608391608392,-0.2144208,0.04995004995004995,0.068434596,0.5844155844155844,0.19864717,0.16883116883116883,0.048252866,0.6633366633366633
area,EDR_EDBP,0.27545384,0.01998001998001998,-0.21576251,0.12387612387612387,0.15598242,0.12487512487512488,0.12242156,0.1938061938061938,0.22431242,0.03396603396603397,0.21426749,0.03496503496503497,-0.07616027,0.5914085914085914,-0.1293626,0.33966033966033965,0.028237646,0.8031968031968032
RND-gm,EDR_HC,-0.49652004,0.01898101898101898,0.20280112,0.25774225774225773,0.0152111435,0.955044955044955,-0.11139123,0.5514485514485514,-0.12423275,0.6823176823176823,-0.20933971,0.27672327672327673,0.08779654,0.4925074925074925,0.4511307,0.005994005994005994,-0.024861643,0.8311688311688312
RND-gm,EDBP_HC,-0.28581184,0.05094905094905095,-0.06683924,0.6073926073926074,0.087074414,0.4955044955044955,-0.073064916,0.5294705294705294,-0.04295353,0.7792207792207793,-0.060163286,0.6513486513486514,0.026551148,0.7852147852147852,0.18092796,0.3036963036963037,0.03722913,0.6563436563436563
RND-gm,EDR_EDBP,-0.2921539,0.2897102897102897,0.3244658,0.04295704295704296,-0.07882049,0.6853146853146853,-0.056605164,0.7132867132867133,-0.10445459,0.6703296703296703,-0.19009688,0.2757242757242757,0.0913482,0.41358641358641357,0.3564212,0.1028971028971029,-0.07266965,0.44255744255744256
RNI-gm,EDR_HC,-0.41568023,0.04795204795204795,0.1056943,0.5124875124875125,0.11523529,0.5574425574425574,-0.09788875,0.5374625374625375,-0.107196525,0.6613386613386614,-0.09483208,0.6043956043956044,0.052251603,0.7112887112887113,0.30080184,0.1798201798201798,-0.06086971,0.4995004995004995
RNI-gm,EDBP_HC,-0.23580508,0.18581418581418582,-0.10649058,0.4125874125874126,0.057152484,0.6863136863136863,0.012679881,0.9120879120879121,-0.14078689,0.35864135864135865,-0.03239801,0.7932067932067932,-0.118242696,0.2757242757242757,0.09292215,0.5834165834165834,0.048068482,0.6293706293706294
